"","Metabolites","FC.Value","log2.of.FC"
"1","3-phosphoglycerate",1.80176366843034,0.849409789873133
"2","5-methoxytryptamine",3.05828137706696,1.61272114791004
"3","adenosine-5-monophosphate",3.26922403222981,1.70894824498902
"4","alpha-ketoglutarate",1.3111271806924,0.390807635258305
"5","aspartic acid",1.47178546871419,0.557567395730483
"6","hypoxanthine",1.434798947764,0.520848592381717
"7","lactic acid",1.75603395926342,0.812320744865978
"8","malic acid",1.28314087759815,0.359679574367305
"9","maltose",2.49140049140049,1.31695695273709
"10","maltotriose",1.4,0.485426827170242
"11","phenol",1.5894076144225,0.668489161120083
"12","phosphoethanolamine",1.54332755632582,0.626044292456136
"13","pyrophosphate",2.60746787339367,1.3826494774119
"14","pyruvic acid",2.11226278484872,1.07878933034702
"15","taurine",2.37698422649648,1.24913232968724
"16","lactamide",2.19595079163678,1.13484572581078
